112	Mike Conley\conlemi01	31	MEM	70	70	33.5	0.507	6.4	21.1	21.4	0.569	27.3	4.6	0.1
113	Pat Connaughton\connapa01	26	MIL	61	2	20.7	0.560	2.0	6.9	13.6	0.573	13.3	0.3	0.8
114	Quinn Cook\cookqu01	25	GSW	74	10	14.3	0.557	1.6	6.9	13.1	0.565	20.2	-0.5	-1.6
115	DeMarcus Cousins\couside01	28	GSW	30	30	25.7	0.515	3.6	16.3	21.4	0.562	28.1	0.4	2.6
116	Robert Covington\covinro01	28	TOT	35	35	34.4	0.548	1.3	13.3	13.3	0.580	15.6	-0.5	2.1
116	Robert Covington\covinro01	28	PHI	13	13	33.8	0.556	1.1	11.3	11.0	0.578	14.2	-1.7	2.2
116	Robert Covington\covinro01	28	MIN	22	22	34.7	0.545	1.5	14.5	14.7	0.580	16.5	0.1	2.1
117	Allen Crabbe\crabbal01	26	BRK	43	20	26.3	0.499	1.1	9.6	7.7	0.519	16.4	-2.4	-0.4
118	Torrey Craig\craigto01	28	DEN	75	37	20.0	0.526	1.0	5.7	10.4	0.547	12.4	-2.0	0.2
119	Jamal Crawford\crawfja01	38	PHO	64	0	18.9	0.474	3.6	7.9	11.7	0.522	20.8	-1.1	-2.8
120	Mitch Creek\creekmi01	26	TOT	5	0	9.6	0.500	1.2	4.2	20.2	0.550	17.6	2.4	1.1
120	Mitch Creek\creekmi01	26	BRK	4	0	9.0	0.500	1.3	3.8	21.5	0.573	15.3	3.7	2.0
120	Mitch Creek\creekmi01	26	MIN	1	0	12.0	0.500	1.0	6.0	16.3	0.500	24.5	-1.7	-1.3
121	Jae Crowder\crowdja01	28	UTA	80	11	27.1	0.508	1.7	11.9	12.1	0.538	19.1	-0.3	0.6
122	Dante Cunningham\cunnida01	31	SAS	64	21	14.5	0.570	0.8	3.0	10.2	0.585	8.9	-1.3	0.6
123	Seth Curry\curryse01	28	POR	74	2	18.9	0.577	0.9	7.9	11.4	0.595	16.6	-0.4	-0.7
124	Stephen Curry\curryst01	30	GSW	69	69	33.8	0.604	5.2	27.3	24.4	0.641	30.4	7.1	-0.5
125	Troy Daniels\danietr01	27	PHO	51	1	14.9	0.545	0.5	6.2	9.8	0.558	17.6	-1.7	-2.0
126	Anthony Davis\davisan02	25	NOP	56	56	33.0	0.540	3.9	25.9	30.3	0.597	29.5	7.1	2.3
127	Deyonta Davis\davisde01	22	ATL	9	0	13.1	0.682	0.6	4.0	15.6	0.682	10.1	-1.5	-0.6
128	Ed Davis\davised01	29	BRK	81	1	17.9	0.616	0.8	5.8	17.3	0.632	12.7	-0.6	0.7
129	Tyler Davis\davisty01	21	OKC	1	0	1.0	0.000	0.0	0.0	0.0	0.000	40.7	-9.6	-31.1
130	Dewayne Dedmon\dedmode01	29	ATL	64	52	25.1	0.571	1.4	10.8	16.0	0.602	16.7	-0.3	0.8
131	Sam Dekker\dekkesa01	24	TOT	47	5	16.8	0.506	1.0	6.1	13.3	0.519	16.2	-1.0	-0.7
131	Sam Dekker\dekkesa01	24	CLE	9	5	18.8	0.510	1.0	6.3	14.0	0.544	14.9	-0.9	-0.1
131	Sam Dekker\dekkesa01	24	WAS	38	0	16.3	0.505	1.0	6.1	13.2	0.514	16.6	-1.0	-0.9
132	Ángel Delgado\delgaan01	24	LAC	2	0	7.5	0.200	0.0	1.5	4.3	0.255	16.5	-7.0	-5.0
133	Matthew Dellavedova\dellama01	28	TOT	48	0	16.9	0.496	3.8	5.9	11.1	0.532	17.9	-1.7	-2.8
133	Matthew Dellavedova\dellama01	28	MIL	12	0	8.1	0.421	2.4	1.7	7.5	0.482	13.7	-3.5	-0.6
133	Matthew Dellavedova\dellama01	28	CLE	36	0	19.9	0.502	4.2	7.3	11.5	0.537	18.4	-1.4	-3.0
134	Luol Deng\denglu01	33	MIN	22	2	17.8	0.559	0.8	7.1	14.6	0.588	15.8	0.2	-0.3
135	DeMar DeRozan\derozde01	29	SAS	77	77	34.9	0.483	6.2	21.2	19.6	0.542	27.9	1.0	0.1
136	Marcus Derrickson\derrima01	22	GSW	11	0	6.1	0.636	0.1	4.2	19.4	0.653	24.4	2.6	-5.3
137	Cheick Diallo\diallch01	22	NOP	64	1	14.0	0.622	0.5	6.0	17.5	0.644	16.0	-1.1	0.1
138	Hamidou Diallo\diallha01	20	OKC	51	3	10.3	0.467	0.3	3.7	10.1	0.497	16.6	-4.4	0.2
139	Gorgui Dieng\dienggo01	29	MIN	76	2	13.6	0.527	0.9	6.4	18.1	0.572	19.6	-0.3	0.9
140	Spencer Dinwiddie\dinwisp01	25	BRK	68	4	28.1	0.517	4.6	16.8	16.3	0.580	24.9	1.4	-0.8
141	Donte DiVincenzo\divindo01	22	MIL	27	0	15.2	0.492	1.1	4.9	9.1	0.507	15.1	-2.8	0.6
142	Luka Dončić\doncilu01	19	DAL	72	72	32.2	0.497	6.0	21.2	19.6	0.545	30.5	3.6	0.3
143	Tyler Dorsey\dorsety01	22	TOT	48	11	14.5	0.489	1.2	6.2	11.2	0.509	19.7	-1.4	-2.1
143	Tyler Dorsey\dorsety01	22	ATL	27	0	9.3	0.416	0.6	3.3	7.8	0.448	17.9	-3.4	-1.5
143	Tyler Dorsey\dorsety01	22	MEM	21	11	21.3	0.526	1.9	9.8	13.1	0.541	20.7	-0.3	-2.4
144	Damyean Dotson\dotsoda01	24	NYK	73	40	27.5	0.506	1.8	10.7	10.8	0.526	17.3	-1.7	-0.9
145	PJ Dozier\doziepj01	22	BOS	6	0	8.5	0.429	0.8	3.2	16.0	0.434	18.5	-1.3	-0.6
146	Goran Dragić\dragigo01	32	MIA	36	22	27.5	0.479	4.8	13.7	13.9	0.517	23.7	-0.5	-0.6
147	Andre Drummond\drumman01	25	DET	79	79	33.5	0.536	1.4	17.3	23.4	0.555	22.9	1.3	0.8
148	Jared Dudley\dudleja01	33	BRK	59	25	20.7	0.533	1.4	4.9	7.8	0.554	10.4	-2.9	1.1
149	Kris Dunn\dunnkr01	24	CHI	46	44	30.2	0.458	6.0	11.3	12.4	0.484	20.1	-2.8	0.2
150	Kevin Durant\duranke01	30	GSW	78	78	34.6	0.571	5.9	26.0	24.2	0.631	29.0	5.4	0.1
151	Trevon Duval\duvaltr01	20	MIL	3	0	2.0	0.833	0.7	1.7	38.3	0.833	20.9	19.1	5.3
152	Vince Edwards\edwarvi01	22	HOU	2	0	8.0	0.375	0.0	1.5	3.8	0.375	10.9	-1.6	-4.8
153	Henry Ellenson\ellenhe01	22	TOT	19	0	13.6	0.500	0.8	6.0	13.1	0.538	19.0	-1.0	-0.5
153	Henry Ellenson\ellenhe01	22	DET	2	0	12.5	0.500	0.5	6.0	14.8	0.551	18.8	2.1	0.2
153	Henry Ellenson\ellenhe01	22	NYK	17	0	13.8	0.500	0.9	6.0	12.9	0.536	19.0	-1.4	-0.5
154	Wayne Ellington\ellinwa01	31	TOT	53	38	24.5	0.554	1.4	10.3	11.8	0.569	17.2	-0.3	0.3
154	Wayne Ellington\ellinwa01	31	MIA	25	12	21.3	0.530	1.2	8.4	10.8	0.547	16.5	-0.7	0.9
154	Wayne Ellington\ellinwa01	31	DET	28	26	27.3	0.570	1.5	12.0	12.5	0.584	17.7	0.0	-0.1
155	Joel Embiid\embiijo01	24	PHI	64	64	33.7	0.517	3.7	27.5	26.1	0.593	33.3	4.0	0.9
156	James Ennis\ennisja01	28	TOT	58	27	21.2	0.563	0.7	6.7	11.0	0.590	12.7	-1.4	-0.2
156	James Ennis\ennisja01	28	HOU	40	25	23.7	0.597	0.7	7.4	11.3	0.622	11.9	-1.0	0.1
156	James Ennis\ennisja01	28	PHI	18	2	15.6	0.476	0.8	5.3	9.9	0.510	15.5	-2.6	-1.1
